path,exists,ext,status,page_count,error,text_chars,text_path
/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025门头沟一模/细则/细则.doc,True,.doc,ok,,,3460,选必三双宝典_哲学宝典完全对齐返工_2026-05-25/06_candidate_audit/original_source_recheck_20260528/source_text_from_originals/70713581c0c6_细则.doc.txt
/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025门头沟一模/试卷/试卷.pdf,True,.pdf,ok,10,,10357,选必三双宝典_哲学宝典完全对齐返工_2026-05-25/06_candidate_audit/original_source_recheck_20260528/source_text_from_originals/41b9c310bed6_试卷.pdf.txt
/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025丰台二模/细则/分题细则/2025丰台二模评标细则/2025丰台二模评标细则/19.(1).docx,True,.docx,ok,,,6757,选必三双宝典_哲学宝典完全对齐返工_2026-05-25/06_candidate_audit/original_source_recheck_20260528/source_text_from_originals/cf5f0f635e6f_19._1_.docx.txt
/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025丰台二模/试卷/试卷.pdf,True,.pdf,ok,10,,9765,选必三双宝典_哲学宝典完全对齐返工_2026-05-25/06_candidate_audit/original_source_recheck_20260528/source_text_from_originals/770de383c911_试卷.pdf.txt
/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025昌平二模/细则/细则.pptx,True,.pptx,ok,,,8953,选必三双宝典_哲学宝典完全对齐返工_2026-05-25/06_candidate_audit/original_source_recheck_20260528/source_text_from_originals/2df7863ec9eb_细则.pptx.txt
/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025昌平二模/试卷/试卷.pdf,True,.pdf,ok,11,,9831,选必三双宝典_哲学宝典完全对齐返工_2026-05-25/06_candidate_audit/original_source_recheck_20260528/source_text_from_originals/f67354a12eea_试卷.pdf.txt
/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025海淀二模/其他材料/2025届二模考试讲评0510.pdf,True,.pdf,ok,71,,12451,选必三双宝典_哲学宝典完全对齐返工_2026-05-25/06_candidate_audit/original_source_recheck_20260528/source_text_from_originals/06bdaf7a81b0_2025届二模考试讲评0510.pdf.txt
/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025海淀二模/细则/细则.docx,True,.docx,ok,,,2751,选必三双宝典_哲学宝典完全对齐返工_2026-05-25/06_candidate_audit/original_source_recheck_20260528/source_text_from_originals/05a280b2e00d_细则.docx.txt
/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025海淀二模/试卷/试卷.pdf,True,.pdf,empty_text_needs_visual,8,,0,选必三双宝典_哲学宝典完全对齐返工_2026-05-25/06_candidate_audit/original_source_recheck_20260528/source_text_from_originals/203635b75b25_试卷.pdf.txt
/Users/wanglifei/Desktop/2025模拟题/2025各区期末/2025东城期末/细则/补充材料/东城期末.pptx,True,.pptx,ok,,,4663,选必三双宝典_哲学宝典完全对齐返工_2026-05-25/06_candidate_audit/original_source_recheck_20260528/source_text_from_originals/7d84ce85cb4b_东城期末.pptx.txt
/Users/wanglifei/Desktop/2025模拟题/2025各区期末/2025东城期末/试卷/试卷.pdf,True,.pdf,ok,20,,21982,选必三双宝典_哲学宝典完全对齐返工_2026-05-25/06_candidate_audit/original_source_recheck_20260528/source_text_from_originals/8ab211d978d9_试卷.pdf.txt
/Users/wanglifei/Desktop/2025模拟题/2025各区期末/2025海淀期末/细则/细则.pptx,True,.pptx,ok,,,15015,选必三双宝典_哲学宝典完全对齐返工_2026-05-25/06_candidate_audit/original_source_recheck_20260528/source_text_from_originals/61b68f14212d_细则.pptx.txt
